read_img,732.9919826984406,733.0062410831451,bigbrain_2307_2412_1388.nii,soen499-worker-5.novalocal,140613797410624
read_img,732.9138209819794,733.0551755428314,bigbrain_2307_2412_0.nii,soen499-worker-14.novalocal,139863239436096
increment,1585.9521934986115,1589.4836790561676,bigbrain_769_603_694.nii,soen499-worker-12.novalocal,140062483601216
increment,1586.4407439231873,1589.9708919525146,bigbrain_3076_2412_2082.nii,soen499-worker-16.novalocal,140356979746624
increment,1586.7411284446716,1590.2780916690826,bigbrain_3076_603_2776.nii,soen499-worker-13.novalocal,139830653540160
increment,1586.2047572135925,1589.7511203289032,bigbrain_769_2412_2082.nii,soen499-worker-6.novalocal,140411136145216
increment,729.3334345817566,732.8866031169891,bigbrain_1538_1809_0.nii,soen499-worker-15.novalocal,140209556408128
read_img,1146.1096551418304,1155.78258061409,bigbrain_769_603_1388.nii,soen499-worker-6.novalocal,140411136145216
increment,21.959127187728882,294.3269534111023,bigbrain_2307_1809_2776.nii,soen499-worker-6.novalocal,140411136145216
increment,1159.8315887451172,1163.3648176193237,bigbrain_3076_1809_2776.nii,soen499-worker-14.novalocal,139863239436096
read_img,734.0843012332916,734.0992715358734,bigbrain_2307_2412_2082.nii,soen499-worker-9.novalocal,140075010975552
increment,1160.0463132858276,1163.590657234192,bigbrain_3076_0_2776.nii,soen499-worker-9.novalocal,140075010975552
read_img,1147.6627035140991,1159.711979150772,bigbrain_769_603_2082.nii,soen499-worker-12.novalocal,140062483601216
increment,1160.2441627979279,1163.7794857025146,bigbrain_3076_1206_694.nii,soen499-worker-14.novalocal,139863239436096
increment,18.65191674232483,295.0550971031189,bigbrain_0_1809_2776.nii,soen499-worker-5.novalocal,140613797410624
increment,289.0337529182434,292.58695220947266,bigbrain_0_1809_0.nii,soen499-worker-5.novalocal,140613797410624
increment,730.928065776825,734.4634017944336,bigbrain_0_603_2082.nii,soen499-worker-13.novalocal,139830653540160
increment,730.9289755821228,734.4597914218903,bigbrain_2307_1206_0.nii,soen499-worker-16.novalocal,140356979746624
increment,1160.470455646515,1164.015034198761,bigbrain_2307_603_1388.nii,soen499-worker-9.novalocal,140075010975552
increment,731.1675205230713,734.7091407775879,bigbrain_0_2412_694.nii,soen499-worker-13.novalocal,139830653540160
increment,730.9861125946045,734.5498263835907,bigbrain_1538_603_1388.nii,soen499-worker-12.novalocal,140062483601216
increment,1160.710854291916,1164.2485992908478,bigbrain_3076_2412_0.nii,soen499-worker-14.novalocal,139863239436096
increment,730.9296133518219,734.4689872264862,bigbrain_2307_1206_2082.nii,soen499-worker-6.novalocal,140411136145216
increment,731.2694120407104,734.8134763240814,bigbrain_0_603_1388.nii,soen499-worker-13.novalocal,139830653540160
increment,1586.834496498108,1590.380478143692,bigbrain_3076_2412_0.nii,soen499-worker-14.novalocal,139863239436096
increment,1586.7675721645355,1590.3051459789276,bigbrain_769_2412_0.nii,soen499-worker-5.novalocal,140613797410624
increment,1587.1227068901062,1590.6658005714417,bigbrain_2307_603_2776.nii,soen499-worker-13.novalocal,139830653540160
increment,731.3302221298218,734.8710880279541,bigbrain_0_2412_2776.nii,soen499-worker-13.novalocal,139830653540160
increment,731.5291929244995,735.0676765441895,bigbrain_0_603_0.nii,soen499-worker-13.novalocal,139830653540160
increment,18.825483560562134,289.5881519317627,bigbrain_2307_0_0.nii,soen499-worker-16.novalocal,140356979746624
increment,731.2576701641083,734.7962400913239,bigbrain_2307_1206_1388.nii,soen499-worker-6.novalocal,140411136145216
increment,1161.2035489082336,1164.7421095371246,bigbrain_2307_2412_0.nii,soen499-worker-14.novalocal,139863239436096
increment,1161.1314465999603,1164.6814312934875,bigbrain_3076_1206_2776.nii,soen499-worker-9.novalocal,140075010975552
increment,20.71588945388794,292.5787045955658,bigbrain_1538_603_2082.nii,soen499-worker-12.novalocal,140062483601216
increment,731.3778569698334,734.9264833927155,bigbrain_1538_1206_2776.nii,soen499-worker-15.novalocal,140209556408128
increment,12.55949330329895,259.3811230659485,bigbrain_1538_2412_2082.nii,soen499-worker-12.novalocal,140062483601216
increment,731.2063724994659,734.7403910160065,bigbrain_2307_0_0.nii,soen499-worker-16.novalocal,140356979746624
increment,731.153148651123,734.7056105136871,bigbrain_0_2412_0.nii,soen499-worker-5.novalocal,140613797410624
increment,1586.648217201233,1590.1878237724304,bigbrain_769_603_0.nii,soen499-worker-12.novalocal,140062483601216
increment,1587.0350284576416,1590.5680260658264,bigbrain_2307_603_0.nii,soen499-worker-12.novalocal,140062483601216
increment,1586.938775062561,1590.4726197719574,bigbrain_769_0_0.nii,soen499-worker-15.novalocal,140209556408128
increment,1586.8689470291138,1590.4000940322876,bigbrain_769_0_2776.nii,soen499-worker-16.novalocal,140356979746624
increment,1588.774896144867,1592.3327298164368,bigbrain_3076_2412_2776.nii,soen499-worker-13.novalocal,139830653540160
increment,23.050895929336548,298.67685174942017,bigbrain_1538_0_1388.nii,soen499-worker-9.novalocal,140075010975552
increment,1161.558786392212,1165.1056616306305,bigbrain_3076_0_0.nii,soen499-worker-9.novalocal,140075010975552
increment,1161.6092808246613,1165.151068687439,bigbrain_3076_1809_0.nii,soen499-worker-14.novalocal,139863239436096
increment,1588.8114314079285,1592.3640942573547,bigbrain_2307_2412_1388.nii,soen499-worker-5.novalocal,140613797410624
increment,1588.360214471817,1591.889344215393,bigbrain_2307_1809_694.nii,soen499-worker-16.novalocal,140356979746624
increment,1587.3492703437805,1590.8949010372162,bigbrain_3076_1206_0.nii,soen499-worker-14.novalocal,139863239436096
